"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42071","1","621","75","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 621 Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,1708390,0,0,1528,79460,"",1.45,0.37,0.44,0.00,0.00,1.23,1.23,"",0,0.0,3,15.8,360135,26.7,0,0.0,0,0.0,126,9.0,6581,9.0
"42071","1","6214","76","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 6214 Outpatient care centers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,22,1708390,0,0,1528,79460,"",5.59,1.01,1.28,0.00,0.00,1.29,1.29,"",0,0.0,3,15.8,360135,26.7,0,0.0,0,0.0,126,9.0,6581,9.0
"42071","1","62149","77","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 62149 Other outpatient care centers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,1708390,0,0,1528,79460,"",5.72,1.02,1.28,0.00,0.00,1.29,1.29,"",0,0.0,3,15.8,360135,26.7,0,0.0,0,0.0,126,9.0,6581,9.0
"42071","1","621498","78","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 621498 All other outpatient care centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,1708390,0,0,1528,79460,"",11.63,1.73,2.15,0.00,0.00,1.28,1.28,"",0,0.0,3,15.8,360135,26.7,0,0.0,0,0.0,126,9.0,6581,9.0
"42071","1","92","74","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,150,9436262,0,0,1207,62769,"",0.33,0.06,0.05,0.00,0.00,0.87,0.87,"",0,0.0,-1,-0.7,176065,1.9,0,0.0,0,0.0,28,2.4,1443,2.4
"42071","1","921","75","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,18,1492938,0,0,1625,84506,"",0.34,0.07,0.09,0.00,0.00,1.25,1.25,"",0,0.0,0,0.0,513,0.0,0,0.0,0,0.0,38,2.4,1976,2.4
"42071","1","9211","76","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,18,1492938,0,0,1625,84506,"",0.34,0.07,0.09,0.00,0.00,1.25,1.25,"",0,0.0,0,0.0,513,0.0,0,0.0,0,0.0,38,2.4,1976,2.4
"42071","1","92113","77","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 92113 Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,18,1492938,0,0,1625,84506,"",1.30,0.11,0.14,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,513,0.0,0,0.0,0,0.0,38,2.4,1976,2.4
"42071","1","921130","78","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 921130 Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,18,1492938,0,0,1625,84506,"",1.30,0.11,0.14,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,513,0.0,0,0.0,0,0.0,38,2.4,1976,2.4
"42071","1","923","75","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,35,2288126,0,0,1275,66322,"",0.28,0.12,0.10,0.00,0.00,0.90,0.90,"",0,0.0,-3,-7.9,-136948,-5.6,0,0.0,0,0.0,42,3.4,2223,3.5
"42071","1","9231","76","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,35,2288126,0,0,1275,66322,"",0.28,0.12,0.10,0.00,0.00,0.90,0.90,"",0,0.0,-3,-7.9,-136948,-5.6,0,0.0,0,0.0,42,3.4,2223,3.5
"42071","1","92313","77","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,35,2288126,0,0,1275,66322,"",0.48,0.29,0.29,0.00,0.00,1.00,1.00,"",0,0.0,-3,-7.9,-136948,-5.6,0,0.0,0,0.0,42,3.4,2223,3.5
"42071","1","923130","78","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,35,2288126,0,0,1275,66322,"",0.48,0.29,0.29,0.00,0.00,1.00,1.00,"",0,0.0,-3,-7.9,-136948,-5.6,0,0.0,0,0.0,42,3.4,2223,3.5
"42071","1","924","75","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,373079,0,0,1025,53297,"",0.13,0.04,0.03,0.00,0.00,0.81,0.81,"",-1,-50.0,-7,-50.0,-280052,-42.9,0,0.0,0,0.0,149,17.0,7730,17.0
"42071","1","9241","76","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,373079,0,0,1025,53297,"",0.13,0.04,0.03,0.00,0.00,0.81,0.81,"",-1,-50.0,-7,-50.0,-280052,-42.9,0,0.0,0,0.0,149,17.0,7730,17.0
"42071","1","92412","77","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,373079,0,0,1025,53297,"",0.14,0.05,0.05,0.00,0.00,0.88,0.88,"",-1,-50.0,-7,-50.0,-280052,-42.9,0,0.0,0,0.0,149,17.0,7730,17.0
"42071","1","924120","78","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,373079,0,0,1025,53297,"",0.14,0.05,0.05,0.00,0.00,0.88,0.88,"",-1,-50.0,-7,-50.0,-280052,-42.9,0,0.0,0,0.0,149,17.0,7730,17.0
"42071","1","926","75","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,68,4119297,0,0,1171,60876,"",0.45,0.17,0.14,0.00,0.00,0.83,0.83,"",1,25.0,10,17.2,568310,16.0,0,0.0,0,0.0,-5,-0.4,-260,-0.4
"42071","1","9261","76","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,68,4119297,0,0,1171,60876,"",0.45,0.17,0.14,0.00,0.00,0.83,0.83,"",1,25.0,10,17.2,568310,16.0,0,0.0,0,0.0,-5,-0.4,-260,-0.4
"42071","1","92611","77","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,26103,0,0,134,6961,"",0.33,0.06,0.00,0.00,0.00,0.09,0.09,"",0,0.0,0,0.0,-52109,-66.6,0,0.0,0,0.0,-207,-60.7,-10747,-60.7
"42071","1","926110","78","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,26103,0,0,134,6961,"",0.33,0.06,0.00,0.00,0.00,0.09,0.09,"",0,0.0,0,0.0,-52109,-66.6,0,0.0,0,0.0,-207,-60.7,-10747,-60.7
"42071","1","92612","77","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 92612 Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,184382,0,0,645,33524,"",0.51,0.03,0.02,0.00,0.00,0.49,0.49,"",0,0.0,0,0.0,1028,0.6,0,0.0,0,0.0,23,3.7,1167,3.6
"42071","1","926120","78","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 926120 Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,184382,0,0,645,33524,"",0.51,0.03,0.02,0.00,0.00,0.49,0.49,"",0,0.0,0,0.0,1028,0.6,0,0.0,0,0.0,23,3.7,1167,3.6
"42071","1","92614","77","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,58,3908812,0,0,1287,66913,"",0.64,0.75,0.82,0.00,0.00,1.09,1.09,"",1,50.0,10,20.8,619391,18.8,0,0.0,0,0.0,-31,-2.4,-1617,-2.4
"42071","1","926140","78","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,58,3908812,0,0,1287,66913,"",0.64,0.75,0.82,0.00,0.00,1.09,1.09,"",1,50.0,10,20.8,619391,18.8,0,0.0,0,0.0,-31,-2.4,-1617,-2.4
"42071","1","928","75","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,24,1162822,0,0,952,49482,"",0.93,0.03,0.02,0.00,0.00,0.73,0.72,"",0,0.0,1,4.3,24242,2.1,0,0.0,0,0.0,-14,-1.4,-749,-1.5
"42071","1","9281","76","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,24,1162822,0,0,952,49482,"",0.93,0.03,0.02,0.00,0.00,0.73,0.72,"",0,0.0,1,4.3,24242,2.1,0,0.0,0,0.0,-14,-1.4,-749,-1.5
"42071","1","92811","77","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 92811 National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,24,1162822,0,0,952,49482,"",1.08,0.03,0.02,0.00,0.00,0.73,0.73,"",0,0.0,1,4.3,24242,2.1,0,0.0,0,0.0,-14,-1.4,-749,-1.5
"42071","1","928110","78","0","2016","A","","Lancaster County, Pennsylvania","Federal Government","NAICS 928110 National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,24,1162822,0,0,952,49482,"",1.08,0.03,0.02,0.00,0.00,0.73,0.73,"",0,0.0,1,4.3,24242,2.1,0,0.0,0,0.0,-14,-1.4,-749,-1.5
"42071","2","10","71","0","2016","A","","Lancaster County, Pennsylvania","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,2269,130049600,0,0,1102,57305,"",0.33,0.30,0.37,0.00,0.00,1.22,1.22,"",0,0.0,88,4.0,2581768,2.0,0,0.0,0,0.0,-22,-2.0,-1153,-2.0
"42071","2","101","72","0","2016","A","N","Lancaster County, Pennsylvania","State Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","1012","73","0","2016","A","N","Lancaster County, Pennsylvania","State Government","1012 Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","102","72","0","2016","A","N","Lancaster County, Pennsylvania","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","1021","73","0","2016","A","N","Lancaster County, Pennsylvania","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1.50,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","1024","73","0","2016","A","N","Lancaster County, Pennsylvania","State Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","1025","73","0","2016","A","","Lancaster County, Pennsylvania","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,1484,88447150,0,0,1146,59590,"",0.20,0.35,0.44,0.00,0.00,1.27,1.26,"",0,0.0,95,6.8,3466917,4.1,0,0.0,0,0.0,-30,-2.6,-1587,-2.6
"42071","2","1026","73","0","2016","A","","Lancaster County, Pennsylvania","State Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,29,1608873,0,0,1086,56452,"",1.86,0.73,1.45,0.00,0.00,2.02,2.02,"",0,0.0,1,3.6,65040,4.2,0,0.0,0,0.0,41,3.9,2124,3.9
"42071","2","1028","73","0","2016","A","","Lancaster County, Pennsylvania","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",20,236,17537558,0,0,1429,74285,"",0.30,0.08,0.13,0.00,0.00,1.59,1.59,"",0,0.0,5,2.2,333142,1.9,0,0.0,0,0.0,-3,-0.2,-166,-0.2
"42071","2","23","74","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","237","75","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 237 Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","2373","76","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 2373 Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","23731","77","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 23731 Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","237310","78","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 237310 Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","44-45","74","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.73,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","445","75","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","4453","76","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 4453 Beer, wine, and liquor stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","44531","77","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 44531 Beer, wine, and liquor stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","445310","78","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 445310 Beer, wine, and liquor stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","48-49","74","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.51,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","488","75","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.85,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","4884","76","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 4884 Support activities for road transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","48849","77","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 48849 Other support activities for road transport.","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","488490","78","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 488490 Other support activities for road transport.","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","56","74","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 56 Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","561","75","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 561 Administrative and support services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","5614","76","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 5614 Business support services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",48.84,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","56142","77","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 56142 Telephone call centers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",52.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","561422","78","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 561422 Telemarketing and other contact centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",56.35,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","61","74","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","611","75","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 611 Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","6112","76","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 6112 Junior colleges","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.97,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","61121","77","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 61121 Junior colleges","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.97,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","611210","78","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 611210 Junior colleges","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.97,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","6113","76","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 6113 Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","61131","77","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 61131 Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"42071","2","611310","78","0","2016","A","N","Lancaster County, Pennsylvania","State Government","NAICS 611310 Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
